Frame,Latency_ms
1851,30.5651
1852,29.3454
1853,36.4006
1854,31.8314
1855,29.6683
1856,32.0046
1857,32.4008
1858,34.9507
1859,32.1221
1860,31.1924
1861,30.7626
1862,33.1176
1863,34.3413
1864,32.2648
1865,34.9790
1866,31.7915
1867,29.2510
1868,33.3261
1869,36.3129
1870,29.1678
1871,29.6729
1872,30.1401
1873,35.3531
1874,31.3546
1875,31.0018
1876,33.1569
1877,31.5091
1878,36.5211
1879,30.9233
1880,33.1387
1881,32.1067
1882,33.8780
1883,32.6581
1884,35.5557
1885,32.3959
1886,34.9994
1887,32.2116
1888,35.0809
1889,36.6789
1890,31.2174
1891,30.3007
1892,32.9224
1893,36.9600
1894,32.1696
1895,32.9605
1896,31.7082
1897,34.6004
1898,33.1430
1899,33.6843
1900,30.4995
1901,31.1309
1902,36.3806
1903,34.6524
1904,34.4476
1905,38.5616
1906,32.8261
1907,31.0130
1908,30.4069
1909,30.7271
1910,31.9423
1911,32.8389
1912,32.2259
1913,32.6251
1914,30.4576
1915,31.5536
1916,35.3712
1917,33.0144
1918,33.5889
1919,32.3827
1920,31.8507
1921,33.7335
1922,30.4959
1923,30.5156
1924,32.9149
1925,34.2358
1926,34.3717
1927,32.3356
1928,30.7441
1929,31.4616
1930,30.6022
1931,31.4494
1932,32.7574
1933,29.1946
1934,34.6053
1935,30.6352
1936,30.5579
1937,29.8776
1938,30.0577
1939,30.8093
1940,30.7763
1941,35.4958
1942,36.9803
1943,35.0615
1944,31.2097
1945,31.2157
1946,31.4291
1947,38.3385
1948,34.1146
1949,37.2728
1950,31.1571
1951,32.2933
1952,38.6278
1953,29.4768
1954,30.8458
1955,29.9050
1956,33.4675
1957,33.8056
1958,33.3062
1959,31.3882
1960,29.4015
1961,31.5830
1962,28.5438
1963,34.7156
1964,33.2037
1965,30.8755
1966,30.1220
1967,32.5785
1968,27.4059
1969,31.3289
1970,31.0243
1971,32.2676
1972,32.0650
1973,34.6284
1974,32.4365
1975,32.1525
1976,33.2548
1977,26.7936
1978,30.1735
1979,32.1254
1980,32.7103
1981,31.0070
1982,29.2187
1983,30.0632
1984,31.9172
1985,33.6233
1986,34.9151
1987,32.8177
1988,37.0639
1989,31.6286
1990,42.1088
1991,31.3323
1992,32.0582
1993,38.7633
1994,33.1472
1995,32.9520
1996,36.0998
1997,34.0883
1998,33.4234
1999,36.0776
2000,39.4118
2001,37.5370
2002,31.7573
2003,38.2195
2004,35.4526
2005,34.0491
2006,34.1888
2007,37.8943
2008,32.0741
2009,33.1870
2010,32.4628
2011,31.5371
2012,33.9689
2013,33.4160
2014,33.0104
2015,32.4685
2016,29.6392
2017,34.1273
2018,32.4448
2019,37.7300
2020,35.2766
2021,32.5785
2022,34.5882
2023,32.2405
2024,31.1072
2025,36.6219
2026,31.3598
2027,37.6658
2028,28.5613
2029,30.8163
2030,31.9158
2031,33.6322
2032,32.9725
2033,29.8923
2034,32.1419
2035,38.8513
2036,30.7472
2037,29.4256
2038,32.0388
2039,34.9245
2040,40.9509
2041,32.2981
2042,31.5111
2043,32.5644
2044,33.6983
2045,33.6125
2046,33.8827
2047,32.2960
2048,34.1415
